Location,Population,% ofworld,Date,Source (official or fromtheUnited Nations),Notes
World,"8,232,000,000",100%,13 Jun 2025,UN projection[1][3],
India,"1,429,404,000",17.3%,1 Jul 2026,Official projection[4],[b]
China,"1,404,890,000",17.0%,31 Dec 2025,Official estimate[5],[c]
United States,"341,784,857",4.1%,1 Jul 2025,Official estimate[6],[d]
Indonesia,"288,315,089",3.5%,31 Dec 2025,National annual projection[7],
Pakistan,"241,499,431",2.9%,1 Mar 2023,2023 census result[8],[e]
Nigeria,"223,800,000",2.7%,1 Jul 2023,Official projection[9],
Brazil,"213,421,037",2.6%,1 Jul 2025,Official estimate[10],
Bangladesh,"169,828,911",2.1%,14 Jun 2022,2022 census result[11],[f]
Russia,"146,028,325",1.8%,1 Jan 2025,Official estimate[13],[g]
Mexico,"131,150,866",1.6%,31 Mar 2026,National quarterly estimate[14],
Japan,"122,930,000",1.5%,1 Jul 2026,Monthly national estimate[15],
Democratic Republic of the Congo,"116,452,162",1.4%,1 Jul 2026,UN projection[16],
Philippines,"114,849,400",1.4%,1 Jul 2026,Official projection[17],
Ethiopia,"111,652,998",1.4%,1 Jul 2025,National annual projection[18],
Egypt,"108,613,296",1.3%,1 Jan 2026,Official estimate[19],
Vietnam,"102,300,000",1.2%,31 Dec 2025,Official estimate[20],
Iran,"87,134,000",1.1%,21 Mar 2026,Official estimate[21],
Turkey,"86,092,168",1.0%,31 Dec 2025,Official estimate[22],
Germany,"83,467,117",1.0%,31 Dec 2025,National quarterly estimate[23],
Tanzania,"70,038,850",0.8%,1 Jul 2026,Official projection[24],[h]
United Kingdom,"69,487,000",0.8%,30 Jun 2025,Official estimate[25],[i]
France,"69,081,996",0.8%,1 Jan 2026,Yearly national estimate[26],[j]
Thailand,"70,250,751",0.8%,2025,Preliminary census results[27],
South Africa,"63,100,945",0.8%,30 Jun 2025,Official estimate[28],
Italy,"58,940,756",0.7%,31 May 2026,Monthly national estimate[29],
Colombia,"53,399,171",0.6%,1 Jan 2026,Official projection[30],
Kenya,"53,330,978",0.6%,1 Jul 2025,Official projection[31],
Sudan,"53,282,719",0.6%,1 Jul 2026,UN projection[32],
Myanmar,"51,375,327",0.6%,15 Oct 2024,2024 census result[33],[k]
South Korea,"51,097,986",0.6%,2 Jul 2026,Monthly national estimate[35],
Spain,"49,801,559",0.6%,1 Jul 2026,National quarterly estimate[36],
Algeria,"47,400,000",0.6%,1 Jan 2025,National annual projection[37],
Argentina,"46,466,688",0.6%,1 Jul 2026,National annual projection[38],
Iraq,"46,118,793",0.6%,21 Nov 2024,2024 census result[39],
Uganda,"45,905,417",0.6%,10 May 2024,2024 census result[40],
Afghanistan,"43,844,000",0.5%,1 Jul 2025,UN projection[41][42](see note),[l]
Canada,"41,417,056",0.5%,1 Apr 2026,National quarterly estimate[49],
Uzbekistan,"39,047,321",0.5%,15 Jan 2026,2026 census result[50],
Angola,"38,778,554",0.5%,1 Jan 2026,National estimate[51],
Poland,"37,256,000",0.5%,31 May 2026,Monthly national estimate[52],
Morocco,"36,828,330",0.4%,1 Sep 2024,2024 census result[53],[m]
Saudi Arabia,"35,300,280",0.4%,1 Jul 2024,Official estimate[54],
Mozambique,"34,958,973",0.4%,1 Jul 2026,National annual projection[55],
Malaysia,"34,389,400",0.4%,30 Jun 2026,National quarterly estimate[56],
Ghana,"34,378,768",0.4%,1 Jul 2026,National annual projection[57],
Peru,"34,157,732",0.4%,4 Aug 2025,Census 2025[58],
Yemen,"32,684,503",0.4%,1 Jul 2023,Official estimate[59],
Madagascar,"32,658,977",0.4%,1 Jul 2026,National annual projection[60],
Ivory Coast,"32,494,020",0.4%,31 Dec 2025,National annual projection[61],
Nepal,"30,034,040",0.4%,1 Jul 2026,National annual projection[62],
Cameroon,"29,442,327",0.4%,1 Jul 2025,National annual projection[63],
Ukraine,"28,700,000",0.3%,1 Sep 2025,State migration service[64],[n]
Venezuela,"28,633,711",0.3%,1 Jul 2026,UN projection[65],
Australia,"27,801,023",0.3%,31 Dec 2025,Official projection[66],[o]
Niger,"27,522,750",0.3%,1 Jul 2025,National annual projection[67],
Syria,"26,472,497",0.3%,1 Jul 2026,Monthly estimate[68],
North Korea,"25,950,000",0.3%,1 Jul 2024,National annual projection[69],
Burkina Faso,"24,736,828",0.3%,1 Jul 2026,Official projection[70],
Taiwan,"23,235,002",0.3%,31 Jul 2026,Official estimate[71],[p]
Mali,"22,395,489",0.3%,15 Jun 2022,2022 census result[72],
Sri Lanka,"21,781,800",0.3%,19 Dec 2024,2024 census result[73],
Malawi,"21,201,635",0.3%,1 Jul 2026,National annual projection[74],
Kazakhstan,"20,590,589",0.2%,1 Jul 2026,Official estimate[75],
Somalia,"20,305,907",0.2%,1 Jul 2026,UN projection[32],[q]
Chile,"20,150,948",0.2%,30 Jun 2026,National annual projection[76],
Chad,"20,031,602",0.2%,1 Jul 2026,National annual projection[77],
Zambia,"19,693,423",0.2%,8 Sep 2022,2022 census result[78],
Senegal,"19,575,061",0.2%,1 Jul 2026,National annual projection[79],
Romania,"19,036,031",0.2%,1 Jan 2025,Official estimate[80],
Guatemala,"18,312,373",0.2%,1 Jul 2026,National annual projection[81],
Netherlands,"18,153,386",0.2%,30 Jun 2026,Official estimate[82],[r]
Ecuador,"18,103,660",0.2%,1 Jul 2025,National annual projection[83],
Cambodia,"17,816,143",0.2%,1 Jul 2026,Official projection[84],
Guinea,"17,521,167",0.2%,1 Jul 2025,Census July 2025[85],
Zimbabwe,"17,073,087",0.2%,1 Jul 2025,Official projection[86],
South Sudan,"15,786,898",0.2%,1 Jul 2025,National annual projection[87],
Rwanda,"14,418,145",0.2%,1 Jul 2026,National annual projection[88],
Benin,"13,551,992",0.2%,1 Jul 2026,National annual projection[89],
Burundi,"12,332,788",0.1%,16 Aug 2024,Preliminary census result[90],
Tunisia,"11,972,169",0.1%,6 Nov 2024,2024 census result[91],
Jordan,"11,937,000",0.1%,31 Dec 2025,National estimate[92],
Belgium,"11,936,546",0.1%,1 Apr 2026,Official estimate[93],
Haiti,"11,867,032",0.1%,1 Jul 2024,National annual projection[94],
Portugal,"11,424,031",0.1%,31 Dec 2025,Official estimate[95],
Bolivia,"11,365,333",0.1%,23 Mar 2024,2024 census result[96],
United Arab Emirates,"11,294,243",0.1%,31 Dec 2024,Official estimate[97],
Czech Republic,"10,896,003",0.1%,31 Mar 2026,Official estimate[98],
Dominican Republic,"10,771,504",0.1%,10 Nov 2022,2022 census result[99],
Tajikistan,"10,721,000",0.1%,1 Jan 2026,Official estimate[100],
Sweden,"10,608,128",0.1%,31 May 2026,Monthly national estimate[101],
Greece,"10,372,335",0.1%,1 Jan 2025,Official estimate[102],
Azerbaijan,"10,266,627",0.1%,1 Mar 2026,Monthly national estimate[103],
Israel,"10,263,300",0.1%,30 Jun 2026,Monthly national estimate[104],[s]
Honduras,"10,186,738",0.1%,1 Jul 2026,National annual projection[105],
Papua New Guinea,"10,185,363",0.1%,16 Jun 2024,2024 census result[106],
Hungary,"9,488,428",0.1%,1 Jan 2026,Official estimate[107],
Cuba,"9,434,593",0.1%,31 Dec 2025,Official estimate[108],
Sierra Leone,"9,270,700",0.1%,1 Jul 2026,National annual projection[109],
Austria,"9,217,573",0.1%,1 Jul 2026,National quarterly estimate[110],
Switzerland,"9,139,676",0.1%,31 Mar 2026,National quarterly estimate[111],
Belarus,"9,056,080",0.1%,1 Jan 2026,Official estimate[112],
Togo,"8,095,498",0.10%,8 Nov 2022,2022 census result[113],
Laos,"7,745,000",0.09%,1 Jul 2025,National annual projection[114],
Libya,"7,539,852",0.09%,1 Jul 2026,UN projection[115],
Hong Kong(China),"7,510,800",0.09%,31 Dec 2025,National estimate[116],
Kyrgyzstan,"7,404,300",0.09%,1 Jan 2026,Monthly national estimate[117],
Turkmenistan,"7,057,841",0.09%,17 Dec 2022,2022 census result[118],
Nicaragua,"6,874,748",0.08%,30 Jun 2024,Official estimate[119],
Serbia,"6,532,019",0.08%,1 Jan 2026,Official estimate[120],[t]
Central African Republic,"6,470,307",0.08%,1 Jul 2024,National annual projection[121],
Bulgaria,"6,423,207",0.08%,31 Dec 2025,Official estimate[122],
Republic of the Congo,"6,142,180",0.07%,17 May 2023,2023 census result[123],
Singapore,"6,110,200",0.07%,30 Jun 2025,National annual projection[124],
Paraguay,"6,109,644",0.07%,9 Nov 2022,2022 census result[125],
Denmark,"6,031,699",0.07%,1 Jul 2026,Monthly national estimate[126],[u]
El Salvador,"6,029,976",0.07%,2 May 2024,2024 census result[127],
Lebanon,"5,895,466",0.07%,2026,Official estimate[128],
Finland,"5,652,897",0.07%,30 Jun 2026,Monthly national estimate[129],[v]
Norway,"5,633,770",0.07%,31 Mar 2026,National quarterly estimate[130],[w]
Palestine,"5,557,096",0.07%,31 Dec 2025,National annual projection[131],[x]
Ireland,"5,458,600",0.07%,1 Apr 2025,National estimate[132],
Slovakia,"5,405,368",0.07%,31 Mar 2026,National quarterly estimate[133],
Oman,"5,398,645",0.07%,30 Jun 2026,Monthly national estimate[134],
New Zealand,"5,361,300",0.06%,31 Mar 2026,National quarterly estimate[135],[y]
Liberia,"5,248,621",0.06%,10 Nov 2022,2022 census result[136],
Costa Rica,"5,217,296",0.06%,30 Jun 2026,National annual projection[137],
Mauritania,"4,927,532",0.06%,25 Dec 2023,2023 census result[138],
Kuwait,"4,881,254",0.06%,1 Jan 2025,Official estimate[139],
Panama,"4,064,780",0.05%,1 Jul 2026,2023 census result[140],
Georgia,"3,941,100",0.05%,1 Jan 2026,Official estimate[141],[z]
Croatia,"3,866,233",0.05%,1 Jul 2024,Official estimate[142],
Eritrea,"3,682,669",0.04%,1 Jul 2026,UN projection[115](see note),[aa]
Mongolia,"3,591,120",0.04%,31 Dec 2025,National annual projection[149],
Uruguay,"3,480,601",0.04%,30 Jun 2026,National annual projection[150],
Bosnia and Herzegovina,"3,412,000",0.04%,1 Jul 2024,Official estimate[151],
Qatar,"3,370,611",0.04%,31 Mar 2026,Monthly national estimate[152],
Puerto Rico(US),"3,184,835",0.04%,1 Jul 2025,Annual projection[153],
Armenia,"3,096,900",0.04%,1 Jan 2025,Official estimate[154],
Namibia,"3,022,401",0.04%,24 Sep 2023,2023 Census[155],
Lithuania,"2,886,179",0.03%,1 Jul 2026,Monthly national estimate[156],
Jamaica,"2,774,538",0.03%,12 Sep 2022,2022 census result[157],
Gabon,"2,469,296",0.03%,1 Jul 2025,National annual projection[158],
Gambia,"2,422,712",0.03%,1 May 2024,Preliminary census results[159],
Moldova,"2,365,600",0.03%,1 Jan 2026,Official estimate[160],[ab]
Botswana,"2,359,609",0.03%,18 Mar 2022,2022 census result[161],
Albania,"2,335,930",0.03%,1 Jan 2026,Official estimate[162],
Slovenia,"2,136,385",0.03%,1 Apr 2026,National quarterly estimate[163],
Lesotho,"2,116,427",0.03%,2024,Official survey[164],
Guinea-Bissau,"1,890,252",0.02%,1 Jul 2026,National annual projection[165][dubious–discuss],
Latvia,"1,832,100",0.02%,1 Jul 2026,Monthly national estimate[166],
